f 1m 1f 2m 2f jL0201m jL0201f jV0100m jV0100f 
1 1 -7.44666e-16 0.0259886 180 0.163291 90 1.01324 170.726
11.009 1 -9.02684e-18 0.000209042 180 0.0144598 90 1.0001 179.172
21.018 1 5.07153e-18 5.73432e-05 -180 0.00757274 90 1.00003 179.566
31.027 1 -1.81022e-17 2.63131e-05 -180 0.00512969 90 1.00001 179.706
41.036 1 -4.79248e-18 1.50424e-05 180 0.00387848 90 1.00001 179.778
51.045 1 -5.70244e-18 9.72159e-06 -180 0.00311796 90 1 179.821
61.0541 1 -8.57793e-18 6.79539e-06 180 0.00260681 90 1 179.851
71.0631 1 1.65007e-18 5.01597e-06 -180 0.00223964 90 1 179.872
81.0721 1 9.59709e-18 3.85389e-06 180 0.00196314 90 1 179.888
91.0811 1 -2.17785e-18 3.05341e-06 -180 0.0017474 90 1 179.9
101.09 1 3.76118e-19 2.4787e-06 180 0.00157439 90 1 179.91
111.099 1 -1.45594e-19 2.0522e-06 -180 0.00143255 90 1 179.918
121.108 1 -5.49012e-18 1.72701e-06 180 0.00131416 90 1 179.925
131.117 1 2.80269e-18 1.4734e-06 -180 0.00121384 90 1 179.93
141.126 1 4.28896e-18 1.27182e-06 -180 0.00112775 90 1 179.935
151.135 1 -5.44158e-18 1.10894e-06 180 0.00105306 90 1 179.94
161.144 1 2.29311e-18 9.75465e-07 180 0.000987657 90 1 179.943
171.153 1 1.77443e-18 8.64711e-07 180 0.000929899 90 1 179.947
181.162 1 9.85794e-19 7.71801e-07 -180 0.000878523 90 1 179.95
191.171 1 2.12022e-18 6.931e-07 -180 0.000832526 90 1 179.952
201.18 1 -1.06162e-19 6.2585e-07 -180 0.000791107 90 1 179.955
211.189 1 -6.30908e-19 5.67933e-07 180 0.000753614 90 1 179.957
221.198 1 -1.37708e-18 5.17699e-07 180 0.000719513 90 1 179.959
231.207 1 -1.12229e-19 4.73847e-07 180 0.000688365 90 1 179.961
241.216 1 1.55301e-18 4.35339e-07 180 0.000659802 90 1 179.962
251.225 1 -4.21617e-19 4.01341e-07 -180 0.000633515 90 1 179.964
261.234 1 -4.12517e-19 3.71176e-07 -180 0.000609243 90 1 179.965
271.243 1 2.09292e-19 3.44289e-07 180 0.000586761 90 1 179.966
281.252 1 2.70866e-18 3.2022e-07 -180 0.00056588 90 1 179.968
291.261 1 2.46904e-18 2.9859e-07 -180 0.000546434 90 1 179.969
301.27 1 5.79344e-19 2.79079e-07 -180 0.00052828 90 1 179.97
311.279 1 -1.48324e-18 2.61421e-07 180 0.000511293 90 1 179.971
321.288 1 -1.45898e-18 2.45386e-07 180 0.000495365 90 1 179.972
331.297 1 9.31196e-19 2.30783e-07 180 0.000480399 90 1 179.972
341.306 1 1.22542e-18 2.17446e-07 -180 0.000466311 90 1 179.973
351.315 1 -1.35888e-18 2.05233e-07 180 0.000453026 90 1 179.974
361.324 1 6.93089e-19 1.9402e-07 -180 0.000440477 90 1 179.975
371.333 1 6.32425e-19 1.83701e-07 180 0.000428604 90 1 179.975
381.342 1 -5.21713e-19 1.74185e-07 180 0.000417355 90 1 179.976
391.351 1 -5.0958e-19 1.65389e-07 180 0.000406681 90 1 179.977
401.36 1 -1.03129e-18 1.57243e-07 180 0.000396539 90 1 179.977
411.369 1 -1.33006e-18 1.49684e-07 180 0.000386891 90 1 179.978
421.378 1 -1.2694e-18 1.42658e-07 -180 0.000377701 90 1 179.978
431.387 1 8.03802e-20 1.36115e-07 180 0.000368937 90 1 179.979
441.396 1 -9.49396e-19 1.30012e-07 -180 0.000360572 90 1 179.979
451.405 1 -1.02674e-18 1.2431e-07 180 0.000352577 90 1 179.98
461.414 1 -8.3565e-19 1.18976e-07 -180 0.000344928 90 1 179.98
471.423 1 -3.83701e-19 1.13977e-07 -180 0.000337605 90 1 179.981
481.432 1 -4.09484e-20 1.09287e-07 180 0.000330586 90 1 179.981
491.441 1 -1.2785e-18 1.04881e-07 180 0.000323853 90 1 179.981
501.45 1 1.39376e-18 1.00736e-07 -180 0.000317389 90 1 179.982
511.459 1 -1.09499e-18 9.68318e-08 180 0.000311178 90 1 179.982
521.468 1 -1.51661e-21 9.31503e-08 180 0.000305205 90 1 179.983
531.477 1 -9.69112e-19 8.96748e-08 180 0.000299458 90 1 179.983
541.486 1 1.01764e-18 8.63903e-08 -180 0.000293922 90 1 179.983
551.495 1 1.08437e-18 8.3283e-08 -180 0.000288588 90 1 179.983
561.505 1 1.2512e-18 8.03404e-08 180 0.000283444 90 1 179.984
571.514 1 2.5479e-19 7.7551e-08 180 0.00027848 90 1 179.984
581.523 1 3.98868e-19 7.49044e-08 -180 0.000273687 90 1 179.984
591.532 1 -4.70148e-20 7.2391e-08 180 0.000269056 90 1 179.985
601.541 1 1.15869e-18 7.0002e-08 180 0.000264579 90 1 179.985
611.55 1 -3.98868e-19 6.77294e-08 180 0.000260249 90 1 179.985
621.559 1 -1.44381e-18 6.55656e-08 -180 0.000256058 90 1 179.985
631.568 1 5.50528e-19 6.35039e-08 -180 0.000252 90 1 179.986
641.577 1 -1.24362e-18 6.1538e-08 180 0.000248069 90 1 179.986
651.586 1 6.7489e-19 5.96619e-08 -180 0.000244258 90 1 179.986
661.595 1 -6.59724e-19 5.78704e-08 180 0.000240563 90 1 179.986
671.604 1 -5.23229e-20 5.61583e-08 -180 0.000236978 90 1 179.986
681.613 1 -6.09676e-19 5.45212e-08 -180 0.000233498 90 1 179.987
691.622 1 -9.02381e-20 5.29545e-08 -180 0.000230119 90 1 179.987
701.631 1 -3.3062e-19 5.14545e-08 -180 0.000226836 90 1 179.987
711.64 1 -3.91285e-19 5.00173e-08 180 0.000223645 90 1 179.987
721.649 1 -2.44932e-19 4.86395e-08 -180 0.000220544 90 1 179.987
731.658 1 2.60856e-19 4.73178e-08 180 0.000217527 90 1 179.988
741.667 1 7.65886e-19 4.60493e-08 -180 0.000214591 90 1 179.988
751.676 1 8.26551e-20 4.48311e-08 -180 0.000211734 90 1 179.988
761.685 1 -4.14792e-19 4.36606e-08 180 0.000208951 90 1 179.988
771.694 1 4.61807e-19 4.25354e-08 180 0.000206241 90 1 179.988
781.703 1 3.64744e-19 4.14531e-08 -180 0.0002036 90 1 179.988
791.712 1 2.95738e-20 4.04116e-08 -180 0.000201026 90 1 179.988
801.721 1 -9.93377e-20 3.94089e-08 180 0.000198517 90 1 179.989
811.73 1 5.47495e-19 3.8443e-08 180 0.000196069 90 1 179.989
821.739 1 2.07775e-19 3.75122e-08 180 0.000193681 90 1 179.989
831.748 1 -6.14226e-19 3.66148e-08 180 0.00019135 90 1 179.989
841.757 1 -5.16405e-19 3.57493e-08 180 0.000189075 90 1 179.989
851.766 1 6.24842e-19 3.4914e-08 180 0.000186853 90 1 179.989
861.775 1 3.07871e-19 3.41077e-08 -180 0.000184683 90 1 179.989
871.784 1 -3.14696e-19 3.3329e-08 180 0.000182562 90 1 179.99
881.793 1 -2.35074e-19 3.25767e-08 180 0.00018049 90 1 179.99
891.802 1 -3.61711e-19 3.18496e-08 -180 0.000178464 90 1 179.99
901.811 1 -2.17633e-19 3.11465e-08 -180 0.000176484 90 1 179.99
911.82 1 5.52045e-19 3.04665e-08 -180 0.000174546 90 1 179.99
921.829 1 -5.77827e-19 2.98085e-08 180 0.000172651 90 1 179.99
931.838 1 -6.29392e-19 2.91716e-08 180 0.000170797 90 1 179.99
941.847 1 -7.1963e-19 2.85548e-08 180 0.000168982 90 1 179.99
951.856 1 7.48445e-19 2.79575e-08 180 0.000167205 90 1 179.99
961.865 1 4.54982e-20 2.73787e-08 180 0.000165465 90 1 179.991
971.874 1 -2.80572e-19 2.68176e-08 180 0.000163761 90 1 179.991
981.883 1 -2.21425e-19 2.62737e-08 180 0.000162092 90 1 179.991
991.892 1 -4.14034e-19 2.57461e-08 -180 0.000160456 90 1 179.991
1001.9 1 -2.8588e-19 2.52343e-08 180 0.000158853 90 1 179.991
1011.91 1 1.00854e-19 2.47375e-08 -180 0.000157282 90 1 179.991
1021.92 1 -5.4067e-19 2.42553e-08 180 0.000155741 90 1 179.991
1031.93 1 2.1915e-19 2.37871e-08 -180 0.000154231 90 1 179.991
1041.94 1 7.54512e-19 2.33323e-08 -180 0.000152749 90 1 179.991
1051.95 1 -1.21329e-19 2.28904e-08 180 0.000151296 90 1 179.991
1061.95 1 6.86265e-19 2.24609e-08 -180 0.00014987 90 1 179.991
1071.96 1 2.57065e-19 2.20435e-08 -180 0.00014847 90 1 179.991
1081.97 1 -4.20858e-19 2.16375e-08 180 0.000147097 90 1 179.992
1091.98 1 4.2465e-19 2.12427e-08 -180 0.000145749 90 1 179.992
1101.99 1 -3.93559e-19 2.08586e-08 -180 0.000144425 90 1 179.992
1112 1 7.21146e-19 2.04848e-08 180 0.000143125 90 1 179.992
1122.01 1 -6.73373e-19 2.01209e-08 -180 0.000141848 90 1 179.992
1132.02 1 -5.19438e-19 1.97667e-08 -180 0.000140594 90 1 179.992
1142.03 1 -2.9043e-19 1.94217e-08 180 0.000139362 90 1 179.992
1152.04 1 4.98964e-19 1.90857e-08 180 0.000138151 90 1 179.992
1162.05 1 -7.56028e-19 1.87583e-08 -180 0.000136961 90 1 179.992
1172.05 1 -2.00192e-19 1.84393e-08 180 0.000135791 90 1 179.992
1182.06 1 3.18487e-19 1.81284e-08 180 0.000134642 90 1 179.992
1192.07 1 -5.53561e-20 1.78252e-08 180 0.000133511 90 1 179.992
1202.08 1 -1.22087e-19 1.75296e-08 -180 0.0001324 90 1 179.992
1212.09 1 2.37349e-19 1.72413e-08 -180 0.000131306 90 1 179.992
1222.1 1 -1.09196e-19 1.69601e-08 180 0.000130231 90 1 179.993
1232.11 1 -6.46833e-19 1.66856e-08 180 0.000129173 90 1 179.993
1242.12 1 -4.45124e-19 1.64178e-08 180 0.000128132 90 1 179.993
1252.13 1 6.49866e-19 1.61564e-08 180 0.000127108 90 1 179.993
1262.14 1 -4.03417e-19 1.59012e-08 180 0.0001261 90 1 179.993
1272.14 1 -4.39816e-20 1.56519e-08 180 0.000125108 90 1 179.993
1282.15 1 4.39058e-19 1.54085e-08 180 0.000124131 90 1 179.993
1292.16 1 -5.33087e-19 1.51707e-08 180 0.000123169 90 1 179.993
1302.17 1 -7.56028e-19 1.49384e-08 180 0.000122223 90 1 179.993
1312.18 1 2.26354e-19 1.47114e-08 -180 0.00012129 90 1 179.993
1322.19 1 -2.35832e-19 1.44895e-08 180 0.000120372 90 1 179.993
1332.2 1 -3.81806e-19 1.42726e-08 180 0.000119468 90 1 179.993
1342.21 1 -1.6986e-19 1.40605e-08 -180 0.000118577 90 1 179.993
1352.22 1 -1.7896e-19 1.38531e-08 180 0.000117699 90 1 179.993
1362.23 1 -1.7896e-19 1.36503e-08 -180 0.000116835 90 1 179.993
1372.23 1 1.20949e-19 1.34519e-08 180 0.000115982 90 1 179.993
1382.24 1 -6.29392e-20 1.32578e-08 180 0.000115143 90 1 179.993
1392.25 1 3.2607e-20 1.30679e-08 -180 0.000114315 90 1 179.993
1402.26 1 -1.46353e-19 1.2882e-08 180 0.000113499 90 1 179.993
1412.27 1 -1.32703e-19 1.27e-08 180 0.000112694 90 1 179.994
1422.28 1 1.4294e-19 1.25219e-08 -180 0.000111901 90 1 179.994
1432.29 1 -3.43132e-19 1.23475e-08 180 0.000111119 90 1 179.994
1442.3 1 -3.65123e-19 1.21767e-08 180 0.000110348 90 1 179.994
1452.31 1 4.47399e-20 1.20095e-08 -180 0.000109588 90 1 179.994
1462.32 1 -4.70148e-20 1.18456e-08 180 0.000108838 90 1 179.994
1472.32 1 9.36505e-20 1.16851e-08 -180 0.000108098 90 1 179.994
1482.33 1 2.70335e-19 1.15279e-08 -180 0.000107368 90 1 179.994
1492.34 1 -4.66357e-20 1.13737e-08 180 0.000106648 90 1 179.994
1502.35 1 -8.07593e-20 1.12227e-08 180 0.000105937 90 1 179.994
1512.36 1 -2.38486e-19 1.10746e-08 180 0.000105236 90 1 179.994
1522.37 1 -2.07775e-19 1.09295e-08 180 0.000104544 90 1 179.994
1532.38 1 9.06172e-20 1.07872e-08 -180 0.000103861 90 1 179.994
1542.39 1 -2.93843e-19 1.06476e-08 -180 0.000103187 90 1 179.994
1552.4 1 -1.02371e-19 1.05108e-08 -180 0.000102522 90 1 179.994
1562.41 1 5.08063e-20 1.03765e-08 -180 0.000101865 90 1 179.994
1572.41 1 -8.98589e-20 1.02449e-08 -180 0.000101217 90 1 179.994
1582.42 1 -2.22562e-19 1.01157e-08 180 0.000100577 90 1 179.994
1592.43 1 -1.09954e-19 9.98891e-09 180 9.99446e-05 90 1 179.994
1602.44 1 -2.58961e-19 9.86452e-09 180 9.93203e-05 90 1 179.994
1612.45 1 -2.71852e-19 9.74243e-09 -180 9.87038e-05 90 1 179.994
1622.46 1 -2.02088e-19 9.6226e-09 180 9.80949e-05 90 1 179.994
1632.47 1 3.75739e-19 9.50497e-09 -180 9.74934e-05 90 1 179.994
1642.48 1 -3.74981e-19 9.38948e-09 180 9.68993e-05 90 1 179.994
1652.49 1 -2.7261e-19 9.27608e-09 180 9.63124e-05 90 1 179.994
1662.5 1 1.83509e-19 9.16472e-09 -180 9.57326e-05 90 1 179.995
1672.5 1 -1.78201e-19 9.05536e-09 180 9.51597e-05 90 1 179.995
1682.51 1 -3.38582e-19 8.94794e-09 180 9.45936e-05 90 1 179.995
1692.52 1 7.73469e-20 8.84242e-09 180 9.40342e-05 90 1 179.995
1702.53 1 2.61615e-20 8.73876e-09 -180 9.34813e-05 90 1 179.995
1712.54 1 3.32895e-19 8.63691e-09 -180 9.2935e-05 90 1 179.995
1722.55 1 -8.56883e-20 8.53683e-09 180 9.2395e-05 90 1 179.995
1732.56 1 -5.04272e-20 8.43848e-09 -180 9.18612e-05 90 1 179.995
1742.57 1 -1.09954e-19 8.34182e-09 180 9.13336e-05 90 1 179.995
1752.58 1 1.2512e-20 8.24682e-09 -180 9.0812e-05 90 1 179.995
1762.59 1 -2.48723e-19 8.15342e-09 180 9.02963e-05 90 1 179.995
1772.59 1 3.47682e-19 8.0616e-09 180 8.97864e-05 90 1 179.995
1782.6 1 -2.88534e-19 7.97133e-09 180 8.92823e-05 90 1 179.995
1792.61 1 -7.27971e-20 7.88256e-09 180 8.87838e-05 90 1 179.995
1802.62 1 1.24741e-19 7.79527e-09 -180 8.82908e-05 90 1 179.995
1812.63 1 -1.77822e-19 7.70942e-09 180 8.78033e-05 90 1 179.995
1822.64 1 -3.18108e-19 7.62498e-09 -180 8.73211e-05 90 1 179.995
1832.65 1 8.26551e-20 7.54192e-09 -180 8.68442e-05 90 1 179.995
1842.66 1 -2.76781e-20 7.46021e-09 -180 8.63725e-05 90 1 179.995
1852.67 1 -1.51661e-20 7.37982e-09 -180 8.59059e-05 90 1 179.995
1862.68 1 -2.38107e-19 7.30072e-09 180 8.54443e-05 90 1 179.995
1872.68 1 9.47879e-21 7.22289e-09 180 8.49876e-05 90 1 179.995
1882.69 1 -2.5024e-20 7.14629e-09 180 8.45358e-05 90 1 179.995
1892.7 1 2.6389e-19 7.07091e-09 180 8.40887e-05 90 1 179.995
1902.71 1 -3.04838e-19 6.99672e-09 180 8.36464e-05 90 1 179.995
1912.72 1 -4.77731e-20 6.92368e-09 180 8.32087e-05 90 1 179.995
1922.73 1 -3.15075e-19 6.85179e-09 180 8.27755e-05 90 1 179.995
1932.74 1 1.33082e-19 6.781e-09 180 8.23468e-05 90 1 179.995
1942.75 1 -1.9223e-19 6.71131e-09 180 8.19226e-05 90 1 179.995
1952.76 1 -3.43511e-19 6.64269e-09 180 8.15027e-05 90 1 179.995
1962.77 1 2.85122e-19 6.57511e-09 -180 8.10871e-05 90 1 179.995
1972.77 1 1.89955e-19 6.50857e-09 -180 8.06757e-05 90 1 179.995
1982.78 1 2.36211e-19 6.44302e-09 -180 8.02684e-05 90 1 179.995
